dataset,column,mean,std,median,iqr,skew,kurtosis
ddf--datapoints--alcohol_consumption_per_adult_15plus_litres--by--geo--time,alcohol_consumption_per_adult_15plus_litres,7.053496332518337,4.856419215701881,6.53,7.09,0.4539851840682903,-0.3836895815746981
ddf--datapoints--body_mass_index_bmi_men_kgperm2--by--geo--time,body_mass_index_bmi_men_kgperm2,23.7882448267265,2.6588981965081193,24.0,3.900000000000002,0.22414496187554653,-0.032841691416579444
ddf--datapoints--body_mass_index_bmi_women_kgperm2--by--geo--time,body_mass_index_bmi_women_kgperm2,24.535477437048115,2.791299533966244,24.7,3.6999999999999993,0.18054099649712782,0.34323626313737243
ddf--datapoints--breast_cancer_deaths_per_100000_women--by--geo--time,breast_cancer_deaths_per_100000_women,19.102058823529415,8.534001300731374,17.88,10.700000000000001,1.1625968430214477,2.863369997420642
ddf--datapoints--cell_phones_per_100_people--by--geo--time,time,1997.14,15.842934201481578,1998.0,26.0,-0.23846257897578277,-0.8082842652713143
ddf--datapoints--cell_phones_per_100_people--by--geo--time,cell_phones_per_100_people,37.91732339227053,52.66192698603191,1.36867,79.201975,1.2083063739695583,0.7164898919194789
ddf--datapoints--cell_phones_total--by--geo--time,time,1997.1193368035474,15.831795223589111,1998.0,26.0,-0.2351530510139531,-0.8079405196586782
ddf--datapoints--cell_phones_total--by--geo--time,cell_phones_total,12250051.264314633,73594487.30700466,28950.0,3192502.5,15.58915546895493,294.7297598970459
ddf--datapoints--data_quality_income_per_person--by--geo--time,time,1966.2439024390244,42.92466002226229,1971.5,41.0,-3.573484939340471,18.11896656492421
ddf--datapoints--economic_growth_over_the_past_10_years--by--geo--time,economic_growth_over_the_past_10_years,1.7657703550619084,2.909445755116884,1.861,3.0145,-0.4051074442425801,4.921279906996308
ddf--datapoints--females_aged_15_24_unemployment_rate_percent--by--geo--time,time,2007.0091391509434,12.302329316096486,2009.0,18.0,-0.9198051164751214,0.8711549924427868
ddf--datapoints--females_aged_15_24_unemployment_rate_percent--by--geo--time,females_aged_15_24_unemployment_rate_percent,19.02265625,13.49587859743985,15.34,16.698,1.222659666415795,1.2624407065738334
ddf--datapoints--females_aged_25_54_unemployment_rate_percent--by--geo--time,time,2007.1306025526862,12.22292119408736,2010.0,17.0,-0.9357462881448476,0.9589768154958764
ddf--datapoints--females_aged_25_54_unemployment_rate_percent--by--geo--time,females_aged_25_54_unemployment_rate_percent,7.581262689225289,6.118197707818834,5.756,6.323,1.8345339125745386,4.260002681890999
ddf--datapoints--male_long_term_unemployment_rate_percent--by--geo--time,male_long_term_unemployment_rate_percent,1.9719028422484135,1.9249204356446044,1.37355,1.785755,2.1835569472068226,7.265297138335259
ddf--datapoints--suicide_age_15_19_per_100000_people--by--geo--time,suicide_age_15_19_per_100000_people,6.053169398907104,5.864362833094428,4.2,4.6850000000000005,2.986378577331263,11.906829268284227
ddf--datapoints--suicide_age_15_24_per_100000_people--by--geo--time,suicide_age_15_24_per_100000_people,7.7901092896174875,7.676023322914295,5.35,5.945,3.3506651804804357,14.855053985997829
ddf--datapoints--suicide_age_15_29_per_100000_people--by--geo--time,suicide_age_15_29_per_100000_people,8.75617486338798,8.540141261153915,6.14,6.5649999999999995,3.2576439500032235,13.661121822204828
ddf--datapoints--suicide_age_25_34_per_100000_people--by--geo--time,suicide_age_25_34_per_100000_people,10.802459016393444,11.036354210049838,7.6,7.305000000000001,3.358848291727152,14.601588689257175
ddf--datapoints--suicide_age_30_49_per_100000_people--by--geo--time,suicide_age_30_49_per_100000_people,12.653169398907105,14.866430611632603,10.0,7.805,6.6115544918444735,61.83344109841043
ddf--datapoints--suicide_age_35_44_per_100000_people--by--geo--time,suicide_age_35_44_per_100000_people,12.899781420765027,16.57680664764113,10.05,7.484999999999999,7.186972326423202,69.96771219920169
ddf--datapoints--suicide_age_45_54_per_100000_people--by--geo--time,suicide_age_45_54_per_100000_people,15.45918032786885,17.890847063934824,11.9,11.965,6.850546012461335,65.93674807005438
ddf--datapoints--suicide_age_55_64_per_100000_people--by--geo--time,suicide_age_55_64_per_100000_people,17.558142076502733,14.974209874458108,14.72,17.419999999999995,3.0187088917128424,17.90135118551303
ddf--datapoints--suicide_age_65_74_per_100000_people--by--geo--time,suicide_age_65_74_per_100000_people,20.893989071038252,17.18562880131487,15.7,21.88,1.411039350337255,2.767834773905641
ddf--datapoints--suicide_age_75_84_per_100000_people--by--geo--time,suicide_age_75_84_per_100000_people,27.47224043715847,22.691131125751493,19.07,30.974999999999998,1.0179097816132874,0.18961124207224156
ddf--datapoints--suicide_age_85plus_per_100000_people--by--geo--time,suicide_age_85plus_per_100000_people,59.3220218579235,63.1240493412003,28.89,79.535,1.3302506895673607,0.6919112191574932
ddf--datapoints--suicide_men_per_100000_people--by--geo--time,suicide_men_per_100000_people,14.56228618181818,12.1903739108193,11.00362,12.779370000000002,2.010224667994476,5.894131509686906
ddf--datapoints--suicide_per_100000_people--by--geo--time,suicide_per_100000_people,9.474175184275184,7.310143335980112,7.37882,8.301695,1.661949377250686,3.7813933383757115
ddf--datapoints--suicide_total_deaths--by--geo--time,suicide_total_deaths,3560.158435828877,17427.68542228773,498.49,1666.6950000000002,9.684093239731267,102.61948775169277
ddf--datapoints--suicide_women_per_100000_people--by--geo--time,suicide_women_per_100000_people,4.560011923832923,3.4245741703249726,3.6349400000000003,4.293374999999999,1.3074072609607925,1.9415728523799376
ddf--datapoints--total_number_of_dollar_billionaires--by--geo--time,total_number_of_dollar_billionaires,28.29557843731072,95.62543010867056,5.0,15.0,7.419356153330033,62.72262608041191
ddf--datapoints--working_hours_per_week--by--geo--time,time,2009.2724014336918,10.852463641926866,2012.0,15.0,-0.9705860762343522,0.7155409742669567
ddf--datapoints--working_hours_per_week--by--geo--time,working_hours_per_week,39.96463958582238,4.208046553490668,39.41,5.484999999999999,0.3165595738370302,0.48883741074698417
